"","species","fire type","status"
"1","Achnatherum lemmonii var. lemmonii","Unmeasured","native"
"2","Achnatherum nelsonii ssp. dorei","Unmeasured","native"
"3","Achnatherum occidentale ssp. occidentale","Unmeasured","native"
"4","Aegilops cylindrica","Unmeasured","non-native"
"5","Aegilops triuncialis","Unmeasured","non-native"
"6","Agropyron cristatum","Unmeasured","non-native"
"7","Agrostis avenacea","Unmeasured","non-native"
"8","Agrostis canina","Unmeasured","native"
"9","Agrostis capillaris","Unmeasured","non-native"
"10","Agrostis clavata","Unmeasured","native"
"11","Agrostis exarata","Unmeasured","native"
"12","Agrostis gigantea","Unmeasured","non-native"
"13","Agrostis hyemalis","Unmeasured","native"
"14","Agrostis idahoensis","Unmeasured","native"
"15","Agrostis mertensii","Unmeasured","native"
"16","Agrostis pallens","Unmeasured","native"
"17","Agrostis perennans","Unmeasured","native"
"18","Agrostis scabra","Unmeasured","native"
"19","Agrostis stolonifera","Unmeasured","non-native"
"20","Agrostis variabilis","Unmeasured","native"
"21","Alopecurus aequalis","Unmeasured","native"
"22","Alopecurus carolinianus","Unmeasured","native"
"23","Alopecurus magellanicus","Unmeasured","native"
"24","Alopecurus myosuroides","Unmeasured","non-native"
"25","Alopecurus pratensis","Unmeasured","non-native"
"26","Alopecurus saccatus","Unmeasured","native"
"27","Ammophila arenaria","Unmeasured","non-native"
"28","Ammophila breviligulata","Unmeasured","native"
"29","Ampelodesmos mauritanica","Unmeasured","non-native"
"30","Andropogon bicornis","Unmeasured","native"
"31","Andropogon gayanus","Unmeasured","non-native"
"32","Andropogon gerardii","Unmeasured","native"
"33","Andropogon glomeratus","Unmeasured","native"
"34","Andropogon hallii","Unmeasured","native"
"35","Andropogon ternarius","Unmeasured","native"
"36","Andropogon virginicus","Unmeasured","native"
"37","Anthoxanthum odoratum","Unmeasured","non-native"
"38","Arctagrostis latifolia","Unmeasured","native"
"39","Arctophila fulva","Unmeasured","native"
"40","Aristida adscensionis","Unmeasured","native"
"41","Aristida arizonica","Unmeasured","native"
"42","Aristida dichotoma","Unmeasured","native"
"43","Aristida divaricata","Unmeasured","native"
"44","Aristida longespica","Unmeasured","native"
"45","Aristida oligantha","Unmeasured","native"
"46","Aristida purpurascens","Unmeasured","native"
"47","Aristida purpurea","Unmeasured","native"
"48","Aristida stricta","Unmeasured","native"
"49","Aristida ternipes","Unmeasured","native"
"50","Arrhenatherum elatius","Invasive/Fire Promoting","non-native"
"51","Arthraxon hispidus","Unmeasured","non-native"
"52","Arundinaria gigantea","Unmeasured","native"
"53","Arundinaria tecta","Unmeasured","native"
"54","Arundo donax","Unmeasured","non-native"
"55","Avena barbata","Unmeasured","non-native"
"56","Avena fatua","Unmeasured","non-native"
"57","Avena sativa","Unmeasured","non-native"
"58","Axonopus compressus","Unmeasured","native"
