"","Seed dry mass","Plant height vegetative","Root rooting depth","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded","Leaf nitrogen (N) content per leaf dry mass","Seed germination rate (germination efficiency)","Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)","Leaf carbon (C) content per leaf dry mass","Leaf carbon/nitrogen (C/N) ratio","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded","Leaf thickness","Leaf dry mass (single leaf)","Plant height generative","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included","Leaf nitrogen (N) content per leaf area","Leaf water content per leaf dry mass (not saturated)","Leaf photosynthesis rate per leaf area","Leaf density (leaf tissue density, leaf dry mass per leaf volume)","Leaf area (in case of compound leaves undefined if leaf or leaflet, undefined if petiole is in- or excluded)","Dispersal unit thickness","Leaf carbon (C) isotope signature (delta 13C)","Leaf carbon (C) content per leaf area","Leaf phosphorus (P) content per leaf dry mass","Species environmental indicator value according to Ellenberg: moisture","Species environmental indicator value according to Ellenberg: nitrogen","Stomata conductance per leaf area","Seedbank density","Seedbank thickness of top layer","Species environmental indicator value according to Ellenberg: pH","Seed (seedbank) longevity","Species environmental indicator value according to Ellenberg: light","Leaf area (in case of compound leaves: leaflet, petiole excluded)","Stomata conductance per leaf dry mass","Leaf nitrogen (N) isotope signature (delta 15N)","Leaf area (in case of compound leaves: leaflet, undefined if petiole is in- or excluded)","Stem longevity","Leaf area (in case of compound leaves: leaf, undefined if petiole in- or excluded)","Leaf area (in case of compound leaves: leaflet, petiole included)","Plant biomass and allometry: Leaf dry mass per plant dry mass (leaf weight ratio, LWR)","Seed length","Fine root length per fine root dry mass (specific fine root length, SRL)","Root nitrogen (N) content per root dry mass","Leaf area (in case of compound leaves: leaf, petiole included)","Fine root diameter","Mycorrhizal colonization: classified fractions of root length that contain mycorrhizae","Leaf area (in case of compound leaves: leaf, petiole excluded)","Leaf carbon (C) isotope fractionation ('big' Delta 13C)","Seed oil content per seed mass","Leaf photosynthesis: intercellular CO2 concentration","Fine root tissue density (fine root dry mass per fine root volume)","Leaf chlorophyll content per leaf dry mass","Leaf phosphorus (P) content per leaf area","Root carbon (C) content per root dry mass","Root/shoot ratio","Seed number per square meter","Root length per root dry mass (specific root length, SRL)","Plant biomass and allometry: Root dry mass per plant","Root tissue density (root dry mass per root volume)","Fine root nitrogen (N) content per fine root dry mass","Leaf fresh mass","Leaf nitrogen/phosphorus (N/P) ratio","Leaf length","Leaf texture (sclerophylly, physical strength, toughness)","Leaf lignin content per leaf dry mass","Species environmental indicator value according to Ellenberg: salt tolerance","Fine root dry mass per ground area","Leaf lifespan (longevity)","Root phosphorus (P) content per root dry mass","Fine root (absorptive) diameter","Species environmental indicator value according to Ellenberg: temperature","Leaf respiration rate in the dark per leaf dry mass","Fine root (absorptive) nitrogen (N) content per absorptive fine root dry mass","Stomata density","Leaf area per plant dry mass (leaf area ratio; LAR)","Fine root carbon/nitrogen (C/N) ratio","Plant biomass and allometry: Stem dry mass per plant","Shoot phosphorus (P) content per shoot dry mass","Fine root carbon (C) content per fine root dry mass","Shoot nitrogen (N) content per shoot dry mass","Root dry mass per ground area","Root dry mass per root fresh mass (root dry matter content; RDMC)","Shoot carbon (C) content per shoot dry mass","Litter (fine root) decomposition: fraction of fine root dry mass not decomposed to original fine root dry mass","Stem dry mass per stem fresh mass (stem dry matter content, StDMC)","Litter carbon (C) content per litter dry mass","Litter nitrogen (N) content per litter dry mass","Fine root length per ground area","Fine root phosphorus (P) content per fine root dry mass","Litter SLA (leaf area per leaf dry mass, specific leaf area, 1/LMA of leaf litter)","Fine root (absorptive) tissue density (absorptive fine root dry mass per absorptive fine root volume)","Leaf relative water content (leaf water content fresh / leaf water content saturated; RWC)","Crown (canopy) length: diameter along the longest axis","Stem nitrogen (N) content per stem dry mass","Leaf water content total","Leaf water saturation deficit","Seed thickness","Stem phosphorus (P) content per stem dry mass","Belowground plant organ rooting depth","Fine root surface area per fine root dry mass (specific fine root area)","Mycorrhizal infection intensity","Seed releasing height","Leaf water & osmotic potential: leaf water potential","Leaf area per leaf fresh mass (specific leaf area (SLA or 1/LMA) based on leaf fresh mass)","Plant lifespan (longevity)","Fire_Type","status","species_name"
"Achnatherum lemmonii var. lemmonii",1.89497301558426,0.9144,0.3048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unmeasured","native","Achnatherum lemmonii var. lemmonii"
"Achnatherum nelsonii ssp. dorei",2.12628427570252,0.9144,0.254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unmeasured","native","Achnatherum nelsonii ssp. dorei"
"Achnatherum occidentale ssp. occidentale",1.58911772184083,0.6096,0.4064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unmeasured","native","Achnatherum occidentale ssp. occidentale"
"Aegilops cylindrica",23.172,0.516666666666667,NA,24.2,17.55,NA,NA,389.79,22.21025641,25.875,0.11,NA,NA,NA,NA,NA,7.05,0.37565740045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4975,NA,NA,NA,NA,NA,NA,NA,NA,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unmeasured","non-native","Aegilops cylindrica"
"Aegilops triuncialis",14.4771428571429,0.5,NA,19.0848443,NA,95.7142857142857,0.32622707,328.8,63.23076923,24.92,NA,NA,NA,NA,NA,2.0653495432,8.02,NA,NA,NA,NA,13.5864355704883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.494,NA,NA,NA,NA,NA,20,NA,NA,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unmeasured","non-native","Aegilops triuncialis"
"Agropyron cristatum",4.27363205286817,0.373696,1.03516923076923,8.14632235620494,24.7653574467349,NA,0.411629949354247,468.631046565191,29.041905429,7.1815679905819,0.2419,79.7194950032948,NA,20.4375774509804,2.59175211105201,2.18125371808667,10.5558259284615,0.62,912.5,NA,-27.0436666666667,48.9046406982023,1.62739305223946,NA,NA,71.4779166666667,NA,NA,NA,NA,NA,528.821111111111,NA,-0.611,NA,NA,NA,423,NA,NA,1559,NA,380,NA,46.64,202,NA,2.40714285714286,240.2615,NA,3.8851524208,0.1221300830573,NA,NA,NA,NA,NA,NA,6.27333333333333,0.134016666666667,16.5996855748884,107.666666666667,4.19,NA,NA,553,6,NA,0.130829489047143,NA,NA,NA,NA,NA,90,0.12285,NA,423,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unmeasured","non-native","Agropyron cristatum"
"Agrostis avenacea",0.1322,0.7,NA,23.18,NA,100,NA,NA,NA,NA,NA,NA,NA,23.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,320,NA,320,320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unmeasured","non-native","Agrostis avenacea"
"Agrostis canina",0.0542745839996533,0.374654545454545,0.254,39.7992857142857,23.5852857142857,80,0.286101428571429,445.885285714286,19.3145057182857,28.7370082626658,0.117,1.60573498971429,0.38,28.8192466142857,0.634280117322377,NA,10.985,NA,316,0.235,NA,12.3456508396967,3.128,6,3,NA,753.975346687211,52.8,5,0.596774193548387,NA,48.6485714285714,NA,NA,NA,0.5,NA,NA,0.447,1.3,NA,NA,NA,NA,NA,123.375,NA,NA,NA,NA,NA,0.0936250039961952,NA,NA,385148,NA,NA,NA,NA,NA,NA,NA,1.95975,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unmeasured","native","Agrostis canina"
"Agrostis capillaris",0.0667196059225226,0.352620974843396,0.6016,31.760284123814,22.676659150456,97,0.277712266037253,441.326894568855,16.3139936846826,33.2138224354817,0.116009803921569,8.4204983508,0.552919753085185,27.1426621326218,1.00080443850585,4.12023142289833,3,0.388125,316,0.354166666666667,-28.05875,15.2783720721131,2.1860262717628,4.33333333333333,3.6,54,1770.71756743876,74.9785714285714,2,1.73015873015873,3,335.666666666667,NA,-0.75375,304.5,0.5,304.5,50.2273333333333,0.752,1,25900,8.95862967095,179.846234559259,0.13,41.7857142857143,335.666666666667,NA,NA,219.571428571429,0.153459029236364,NA,0.0737751580355511,425.873192505,0.765662024012901,62156.7916625,9861.59465425052,6.97614285714286,0.186726236477062,9.4,NA,NA,83.40277777,1.16,66.1875,NA,328,NA,1.283141167,NA,3,NA,NA,NA,NA,NA,NA,2.77431938994531,NA,18.0196697714644,NA,0.296447137789506,425.445429483333,NA,NA,NA,NA,6.15,NA,31.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.5755627,NA,NA,NA,NA,"Unmeasured","non-native","Agrostis capillaris"
"Agrostis clavata",0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unmeasured","native","Agrostis clavata"
