"","species_name","Fire_Type"
"1","Abildgaardia ovata","Unmeasured"
"2","Achnatherum aridum","Unmeasured"
"3","Achnatherum bloomeri","Unmeasured"
"4","Achnatherum contractum","Unmeasured"
"5","Achnatherum coronatum","Unmeasured"
"6","Achnatherum curvifolium","Unmeasured"
"7","Achnatherum diegoense","Unmeasured"
"8","Achnatherum eminens","Unmeasured"
"9","Achnatherum hendersonii","Unmeasured"
"10","Achnatherum hymenoides","Unmeasured"
"11","Achnatherum latiglume","Unmeasured"
"12","Achnatherum lemmonii","Unmeasured"
"13","Achnatherum lemmonii var. lemmonii","Unmeasured"
"14","Achnatherum lemmonii var. pubescens","Unmeasured"
"15","Achnatherum lettermanii","Unmeasured"
"16","Achnatherum lobatum","Unmeasured"
"17","Achnatherum nelsonii","Unmeasured"
"18","Achnatherum nelsonii ssp. dorei","Unmeasured"
"19","Achnatherum nelsonii ssp. nelsonii","Unmeasured"
"20","Achnatherum nevadense","Unmeasured"
"21","Achnatherum occidentale","Unmeasured"
"22","Achnatherum occidentale ssp. californicum","Unmeasured"
"23","Achnatherum occidentale ssp. occidentale","Unmeasured"
"24","Achnatherum occidentale ssp. pubescens","Unmeasured"
"25","Achnatherum parishii","Unmeasured"
"26","Achnatherum parishii var. depauperatum","Unmeasured"
"27","Achnatherum parishii var. parishii","Unmeasured"
"28","Achnatherum perplexum","Unmeasured"
"29","Achnatherum pinetorum","Unmeasured"
"30","Achnatherum richardsonii","Unmeasured"
"31","Achnatherum robustum","Unmeasured"
"32","Achnatherum scribneri","Unmeasured"
"33","Achnatherum speciosum","Unmeasured"
"34","Achnatherum stillmanii","Unmeasured"
"35","Achnatherum swallenii","Unmeasured"
"36","Achnatherum thurberianum","Unmeasured"
"37","Achnatherum wallowaense","Unmeasured"
"38","Achnatherum webberi","Unmeasured"
"39","Achnella caduca","Unmeasured"
"40","Aegopogon tenellus","Unmeasured"
"41","Agroelymus adamsii","Unmeasured"
"42","Agroelymus bowdenii","Unmeasured"
"43","Agrostis aequivalvis","Unmeasured"
"44","Agrostis blasdalei","Unmeasured"
"45","Agrostis canina","Unmeasured"
"46","Agrostis clavata","Unmeasured"
"47","Agrostis clivicola","Unmeasured"
"48","Agrostis clivicola var. clivicola","Unmeasured"
"49","Agrostis clivicola var. punta-reyesensis","Unmeasured"
"50","Agrostis densiflora","Unmeasured"
"51","Agrostis elliottiana","Unmeasured"
"52","Agrostis exarata","Unmeasured"
"53","Agrostis hallii","Unmeasured"
"54","Agrostis hendersonii","Unmeasured"
"55","Agrostis hooveri","Unmeasured"
"56","Agrostis howellii","Unmeasured"
"57","Agrostis humilis","Unmeasured"
"58","Agrostis hyemalis","Unmeasured"
"59","Agrostis idahoensis","Unmeasured"
"60","Agrostis lacuna-vernalis","Unmeasured"
"61","Agrostis mertensii","Unmeasured"
"62","Agrostis microphylla","Unmeasured"
"63","Agrostis oregonensis","Unmeasured"
"64","Agrostis pallens","Unmeasured"
"65","Agrostis pauzhetica","Unmeasured"
"66","Agrostis perennans","Unmeasured"
"67","Agrostis rossiae","Unmeasured"
"68","Agrostis scabra","Unmeasured"
"69","Agrostis variabilis","Unmeasured"
"70","Allolepis texana","Unmeasured"
"71","Alopecurus aequalis","Unmeasured"
"72","Alopecurus aequalis var. aequalis","Unmeasured"
"73","Alopecurus aequalis var. sonomensis","Unmeasured"
"74","Alopecurus carolinianus","Unmeasured"
"75","Alopecurus haussknechtianus","Unmeasured"
"76","Alopecurus magellanicus","Unmeasured"
"77","Alopecurus saccatus","Unmeasured"
"78","Ammophila breviligulata","Unmeasured"
"79","Ammophila champlainensis","Unmeasured"
"80","Amphicarpum muehlenbergianum","Unmeasured"
"81","Amphicarpum purshii","Unmeasured"
"82","Andropogon arctatus","Unmeasured"
"83","Andropogon bicornis","Unmeasured"
"84","Andropogon brachystachyus","Unmeasured"
"85","Andropogon capillipes","Unmeasured"
"86","Andropogon floridanus","Unmeasured"
"87","Andropogon gerardii","Unmeasured"
"88","Andropogon glaucopsis","Unmeasured"
"89","Andropogon glomeratus","Unmeasured"
"90","Andropogon glomeratus var. glomeratus","Unmeasured"
"91","Andropogon glomeratus var. hirsutior","Unmeasured"
"92","Andropogon glomeratus var. pumilus","Unmeasured"
"93","Andropogon glomeratus var. scabriglumis","Unmeasured"
"94","Andropogon gracilis","Unmeasured"
"95","Andropogon gyrans","Unmeasured"
"96","Andropogon gyrans var. gyrans","Unmeasured"
"97","Andropogon gyrans var. stenophyllus","Unmeasured"
"98","Andropogon hallii","Unmeasured"
"99","Andropogon longiberbis","Unmeasured"
"100","Andropogon mohrii","Unmeasured"
"101","Andropogon ternarius","Unmeasured"
"102","Andropogon ternarius var. cabanisii","Unmeasured"
"103","Andropogon ternarius var. ternarius","Unmeasured"
"104","Andropogon tracyi","Unmeasured"
"105","Andropogon virginicus","Unmeasured"
"106","Andropogon virginicus var. decipiens","Unmeasured"
"107","Andropogon virginicus var. virginicus","Unmeasured"
"108","Anthaenantia rufa","Unmeasured"
"109","Anthaenantia villosa","Unmeasured"
"110","Anthephora hermaphrodita","Unmeasured"
"111","Anthoxanthum monticola","Unmeasured"
"112","Anthoxanthum monticola ssp. alpinum","Unmeasured"
"113","Anthoxanthum monticola ssp. monticola","Unmeasured"
"114","Arctagrostis latifolia","Unmeasured"
"115","Arctagrostis latifolia ssp. arundinacea","Unmeasured"
"116","Arctagrostis latifolia ssp. latifolia","Unmeasured"
"117","Arctodupontia scleroclada","Unmeasured"
"118","Arctophila fulva","Unmeasured"
"119","Aristida adscensionis","Unmeasured"
"120","Aristida arizonica","Unmeasured"
"121","Aristida basiramea","Unmeasured"
"122","Aristida beyrichiana","Unmeasured"
"123","Aristida californica","Unmeasured"
"124","Aristida californica var. californica","Unmeasured"
"125","Aristida californica var. glabrata","Unmeasured"
"126","Aristida condensata","Unmeasured"
"127","Aristida desmantha","Unmeasured"
"128","Aristida dichotoma","Unmeasured"
"129","Aristida dichotoma var. curtissii","Unmeasured"
"130","Aristida dichotoma var. dichotoma","Unmeasured"
"131","Aristida divaricata","Unmeasured"
"132","Aristida floridana","Unmeasured"
"133","Aristida gypsophila","Unmeasured"
"134","Aristida gyrans","Unmeasured"
"135","Aristida havardii","Unmeasured"
"136","Aristida lanosa","Unmeasured"
"137","Aristida longespica","Unmeasured"
"138","Aristida longespica var. geniculata","Unmeasured"
"139","Aristida longespica var. longespica","Unmeasured"
"140","Aristida mohrii","Unmeasured"
"141","Aristida oligantha","Unmeasured"
"142","Aristida palustris","Unmeasured"
"143","Aristida pansa","Unmeasured"
"144","Aristida patula","Unmeasured"
"145","Aristida purpurascens","Unmeasured"
"146","Aristida purpurascens var. purpurascens","Unmeasured"
"147","Aristida purpurascens var. tenuispica","Unmeasured"
"148","Aristida purpurascens var. virgata","Unmeasured"
"149","Aristida purpurea","Unmeasured"
"150","Aristida purpurea var. fendleriana","Unmeasured"
"151","Aristida purpurea var. longiseta","Unmeasured"
"152","Aristida purpurea var. nealleyi","Unmeasured"
"153","Aristida purpurea var. parishii","Unmeasured"
"154","Aristida purpurea var. perplexa","Unmeasured"
"155","Aristida purpurea var. purpurea","Unmeasured"
"156","Aristida purpurea var. wrightii","Unmeasured"
"157","Aristida ramosissima","Unmeasured"
"158","Aristida rhizomophora","Unmeasured"
"159","Aristida schiedeana","Unmeasured"
"160","Aristida schiedeana var. orcuttiana","Unmeasured"
"161","Aristida simpliciflora","Unmeasured"
"162","Aristida spiciformis","Unmeasured"
"163","Aristida stricta","Unmeasured"
"164","Aristida ternipes","Unmeasured"
"165","Aristida ternipes var. gentilis","Unmeasured"
"166","Aristida ternipes var. ternipes","Unmeasured"
"167","Aristida tuberculosa","Unmeasured"
"168","Arundinaria appalachiana","Unmeasured"
"169","Arundinaria gigantea","Unmeasured"
"170","Arundinaria tecta","Unmeasured"
"171","Avenula hookeri","Unmeasured"
"172","Axonopus compressus","Unmeasured"
"173","Axonopus fissifolius","Unmeasured"
"174","Axonopus furcatus","Unmeasured"
"175","Beckmannia syzigachne","Unmeasured"
"176","Blepharidachne bigelovii","Unmeasured"
"177","Blepharidachne kingii","Unmeasured"
"178","Blepharoneuron tricholepis","Unmeasured"
"179","Blysmus rufus","Unmeasured"
"180","Bolboschoenus fluviatilis","Unmeasured"
"181","Bolboschoenus maritimus","Unmeasured"
"182","Bolboschoenus maritimus ssp. maritimus","Unmeasured"
"183","Bolboschoenus maritimus ssp. paludosus","Unmeasured"
"184","Bolboschoenus novae-angliae","Unmeasured"
"185","Bolboschoenus robustus","Unmeasured"
"186","Bothriochloa alta","Unmeasured"
"187","Bothriochloa barbinodis","Unmeasured"
"188","Bothriochloa edwardsiana","Unmeasured"
"189","Bothriochloa exaristata","Unmeasured"
"190","Bothriochloa hybrida","Unmeasured"
"191","Bothriochloa laguroides","Unmeasured"
"192","Bothriochloa laguroides ssp. torreyana","Unmeasured"
"193","Bothriochloa longipaniculata","Unmeasured"
"194","Bothriochloa springfieldii","Unmeasured"
"195","Bothriochloa wrightii","Unmeasured"
"196","Bouteloua aristidoides","Unmeasured"
"197","Bouteloua aristidoides var. aristidoides","Unmeasured"
"198","Bouteloua aristidoides var. arizonica","Unmeasured"
"199","Bouteloua barbata","Unmeasured"
"200","Bouteloua breviseta","Unmeasured"
"201","Bouteloua chondrosioides","Unmeasured"
"202","Bouteloua curtipendula","Unmeasured"
"203","Bouteloua curtipendula var. caespitosa","Unmeasured"
"204","Bouteloua curtipendula var. curtipendula","Unmeasured"
"205","Bouteloua dactyloides","Unmeasured"
"206","Bouteloua diversispicula","Unmeasured"
"207","Bouteloua eludens","Unmeasured"
"208","Bouteloua eriopoda","Unmeasured"
"209","Bouteloua gracilis","Unmeasured"
"210","Bouteloua hirsuta","Unmeasured"
"211","Bouteloua hirsuta var. hirsuta","Unmeasured"
"212","Bouteloua hirsuta var. pectinata","Unmeasured"
"213","Bouteloua kayi","Unmeasured"
"214","Bouteloua parryi","Unmeasured"
"215","Bouteloua radicosa","Unmeasured"
"216","Bouteloua ramosa","Unmeasured"
"217","Bouteloua repens","Unmeasured"
"218","Bouteloua rigidiseta","Unmeasured"
"219","Bouteloua rothrockii","Unmeasured"
"220","Bouteloua simplex","Unmeasured"
