scrubbed_species_binomial,trait_name,trait_value,unit,method,latitude,longitude,elevation_m,url_source,project_pi,project_pi_contact,access,id
Bromus rubens,leaf area per leaf dry mass,26.429,m2.kg-1,"The same leaves used to calculate leaf area were used to calculate SLA, which is the ratio between the surface of the leaf (including the petiole) and its oven-dry weight.",40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15706035
Bromus rubens,leaf area per leaf dry mass,28.302,m2.kg-1,"The same leaves used to calculate leaf area were used to calculate SLA, which is the ratio between the surface of the leaf (including the petiole) and its oven-dry weight.",40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15706041
Bromus rubens,whole plant height,0.11,m,NA,40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15372155
Bromus rubens,leaf area,98.45,mm2,measured on two randomly selected leafs of each of the selected individuals of each species and quadrat,40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15705866
Bromus rubens,whole plant height,0.18,m,NA,40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15843413
Bromus rubens,leaf area per leaf dry mass,26.446,m2.kg-1,"The same leaves used to calculate leaf area were used to calculate SLA, which is the ratio between the surface of the leaf (including the petiole) and its oven-dry weight.",40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15706346
Bromus rubens,leaf area,73.25,mm2,measured on two randomly selected leafs of each of the selected individuals of each species and quadrat,40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15705595
Bromus rubens,whole plant height,0.09,m,NA,40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15372835
Bromus rubens,whole plant height,0.12,m,NA,40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15373140
Bromus rubens,leaf area per leaf dry mass,24.637,m2.kg-1,"The same leaves used to calculate leaf area were used to calculate SLA, which is the ratio between the surface of the leaf (including the petiole) and its oven-dry weight.",40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15706043
Bromus rubens,leaf area,62.35,mm2,measured on two randomly selected leafs of each of the selected individuals of each species and quadrat,40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15705877
Bromus rubens,whole plant height,0.17,m,NA,40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15373144
Bromus rubens,whole plant height,0.15,m,NA,40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15372815
Bromus rubens,whole plant height,0.16,m,NA,40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15373148
Bromus rubens,whole plant height,0.19,m,NA,40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15372153
Bromus rubens,whole plant height,0.16,m,NA,40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15372821
Bromus rubens,leaf area per leaf dry mass,34.154,m2.kg-1,"The same leaves used to calculate leaf area were used to calculate SLA, which is the ratio between the surface of the leaf (including the petiole) and its oven-dry weight.",40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15706079
Bromus rubens,leaf area,64,mm2,measured on two randomly selected leafs of each of the selected individuals of each species and quadrat,40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15706322
Bromus rubens,leaf area,81.65,mm2,measured on two randomly selected leafs of each of the selected individuals of each species and quadrat,40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15706342
Bromus rubens,whole plant height,0.13,m,NA,40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15372156
Bromus rubens,leaf area,119.25,mm2,measured on two randomly selected leafs of each of the selected individuals of each species and quadrat,40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15706316
Bromus rubens,whole plant height,0.041,m,NA,40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15372789
Bromus rubens,leaf area per leaf dry mass,16.008,m2.kg-1,"The same leaves used to calculate leaf area were used to calculate SLA, which is the ratio between the surface of the leaf (including the petiole) and its oven-dry weight.",40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15705721
Bromus rubens,whole plant height,0.08,m,NA,40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15372137
Bromus rubens,whole plant height,0.11,m,NA,40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15372837
Bromus rubens,leaf area per leaf dry mass,31.526,m2.kg-1,"The same leaves used to calculate leaf area were used to calculate SLA, which is the ratio between the surface of the leaf (including the petiole) and its oven-dry weight.",40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15706057
Bromus rubens,whole plant height,0.12,m,NA,40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15373149
Bromus rubens,leaf area,65.5,mm2,measured on two randomly selected leafs of each of the selected individuals of each species and quadrat,40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15706338
Bromus rubens,whole plant height,0.11,m,NA,40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15372784
Bromus rubens,leaf area,67.55,mm2,measured on two randomly selected leafs of each of the selected individuals of each species and quadrat,40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15705835
Bromus rubens,leaf area,54.4,mm2,measured on two randomly selected leafs of each of the selected individuals of each species and quadrat,40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15705841
Bromus rubens,whole plant height,0.13,m,NA,40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15372813
Bromus rubens,leaf area,60.9,mm2,measured on two randomly selected leafs of each of the selected individuals of each species and quadrat,40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15705857
Bromus rubens,leaf area per leaf dry mass,29.37,m2.kg-1,"The same leaves used to calculate leaf area were used to calculate SLA, which is the ratio between the surface of the leaf (including the petiole) and its oven-dry weight.",40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15706081
Bromus rubens,whole plant height,0.11,m,NA,40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15372148
Bromus rubens,whole plant height,0.12,m,NA,40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15373142
Bromus rubens,whole plant height,0.065,m,NA,40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15372777
Bromus rubens,leaf area,86.6,mm2,measured on two randomly selected leafs of each of the selected individuals of each species and quadrat,40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15705594
Bromus rubens,whole plant height,0.11,m,NA,40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15373138
Bromus rubens,whole plant height,0.11,m,NA,40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15372819
Bromus rubens,leaf area per leaf dry mass,44.627,m2.kg-1,"The same leaves used to calculate leaf area were used to calculate SLA, which is the ratio between the surface of the leaf (including the petiole) and its oven-dry weight.",40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15706037
